transcript_id	gene_id	log2fc	qval	five_prime	three_prime	intergenic	mean_obs	coding_potential	biotype
MSTRG.3263.9	MSTRG.3263	-1.76714559564157	9.28058551216422e-72	X	X	-	7.12872936144357	0.0480949670053163	novel
MSTRG.7333.3	MSTRG.7333	-1.82646796687057	1.62644959491918e-55	X	X	-	7.37825538806025	5.47889411152285e-09	novel
MSTRG.7560.8	MSTRG.7560	-2.08611717456333	4.34526097575722e-42	X	X	-	5.97213899950824	0.999251441857825	novel
MSTRG.28934.4	MSTRG.28934	-1.54539665827243	2.91532717868185e-40	-	X	-	6.19311410228729	0.309369633487487	novel
MSTRG.27209.24	MSTRG.27209	1.62284749479453	5.0319002237045e-35	-	-	-	5.64605441179458	0.999999968221716	novel
MSTRG.23580.1	MSTRG.23580	-1.29069518923052	5.31029110680618e-33	X	X	-	7.44316253302288	0.99998857627755	novel
MSTRG.18290.3	MSTRG.18290	6.42436759208135	1.87009590133699e-31	-	X	-	2.51903661548073	0.996135784767653	novel
MSTRG.16201.5	MSTRG.16201	-2.48614376822563	6.19791415246128e-31	X	-	-	6.15015263455914	0.368518858637056	novel
MSTRG.26647.5	MSTRG.26647	-1.53688109692923	7.66382471093109e-29	-	-	-	6.71662702859335	0.052448735623491	novel
MSTRG.31092.2	MSTRG.31092	-2.38304644336121	9.63303905681326e-29	X	-	-	4.5982092405713	0.988918283829111	novel
MSTRG.14880.5	MSTRG.14880	1.20868791447412	4.43797500127815e-28	-	X	-	7.23438037535908	0.99999057084705	novel
MSTRG.18044.1	MSTRG.18044	1.44003246252284	5.45827282910603e-28	X	-	X	5.78915885970668	0.00860072117298498	novel
MSTRG.3263.8	MSTRG.3263	-1.63613518206497	6.6738155204324e-28	X	X	-	7.40794639477234	0.0499531658052916	novel
MSTRG.3263.6	MSTRG.3263	-1.73457060240984	2.25513045194596e-27	X	-	-	5.40399281896293	0.0637390513309035	novel
MSTRG.11464.4	MSTRG.11464	2.26060880671549	8.44891205168952e-27	X	-	-	4.73259810091766	0.987337986593113	novel
MSTRG.7560.17	MSTRG.7560	-1.5404073098615	2.24178120179e-26	X	-	-	6.98286151225138	0.999522019096152	novel
MSTRG.7484.7	MSTRG.7484	-1.28068657744876	5.76672116461874e-26	X	-	-	6.07656268556382	0.999012180607192	novel
MSTRG.16622.1	MSTRG.16622	-2.16663949270315	5.88646700150743e-26	-	-	X	4.30435736752073	0.116601018535399	novel
MSTRG.25240.3	MSTRG.25240	-1.1704529844912	1.87298882477694e-24	-	X	-	7.47037586793595	0.999978868655744	novel
MSTRG.17123.7	MSTRG.17123	-1.62542944812378	1.87312545443006e-24	X	-	-	5.10168449355976	0.414184485546682	novel
MSTRG.30363.1	MSTRG.30363	-1.7641545538024	3.57444198098006e-24	-	-	-	4.73192726179642	0.984373140642421	novel
MSTRG.6112.6	MSTRG.6112	-1.17928506903044	6.34880816884965e-24	X	X	-	6.5195905931169	0.00927001325230601	novel
MSTRG.11614.3	MSTRG.11614	1.12385786043396	8.06841706623178e-24	X	-	-	6.5432618607056	0.499828676792997	novel
MSTRG.25099.1	MSTRG.25099	-2.97027870039804	2.86379000375279e-22	-	-	X	3.9314272857712	0.00273582565990152	novel
MSTRG.4934.2	MSTRG.4934	-0.965279340124697	8.41476243296424e-22	-	X	-	7.83812659400066	0.960141438603354	novel
MSTRG.24576.1	MSTRG.24576	-1.38113860201143	5.80605228829817e-20	-	X	-	5.63896688375212	0.99799749202792	novel
MSTRG.1955.3	MSTRG.1955	1.96404477862133	8.71407202173244e-20	-	X	-	5.73382658788088	0.0032720146817436	novel
MSTRG.4742.1	MSTRG.4742	-0.68869163247709	6.05362981642516e-19	X	X	-	8.79256006860486	0.112521889213371	novel
MSTRG.25993.4	MSTRG.25993	-0.768676754487061	7.67274057697678e-19	X	X	-	7.63173563025688	0.9999998386442	novel
MSTRG.23121.10	MSTRG.23121	-2.03015873475965	1.1959457752319e-18	-	X	-	4.96926251534671	0.68051964695969	novel
MSTRG.24795.1	MSTRG.24795	-0.906352468044618	3.60079274877129e-18	X	-	-	6.26708086478882	0.981635243571611	novel
MSTRG.18716.6	MSTRG.18716	1.32872093837665	3.74560781423502e-18	X	X	-	5.70556320092034	0.176885074982683	novel
MSTRG.18145.6	MSTRG.18145	0.669504863798402	6.0690605440092e-18	X	-	-	7.50258458927435	0.00377450454538307	novel
MSTRG.18662.3	MSTRG.18662	0.927824405628622	6.85202538323794e-18	X	X	-	6.60525602303135	0.000155715639549374	novel
MSTRG.19091.2	MSTRG.19091	0.883307421884285	7.56871401740817e-18	X	-	-	6.56823061419759	0.615273846226758	novel
