transcript_id	gene_id	log2fc	qval	five_prime	three_prime	intergenic	mean_obs	coding_potential	biotype
MSTRG.18044.1	MSTRG.18044	1.44003246252284	5.45827282910603e-28	X	-	X	5.78915885970668	0.00860072117298498	novel
MSTRG.16622.1	MSTRG.16622	-2.16663949270315	5.88646700150743e-26	-	-	X	4.30435736752073	0.116601018535399	novel
MSTRG.25099.1	MSTRG.25099	-2.97027870039804	2.86379000375279e-22	-	-	X	3.9314272857712	0.00273582565990152	novel
MSTRG.16287.1	MSTRG.16287	-2.6788552094545	1.06407677061217e-14	-	X	X	3.56491260241733	0.142945130204932	novel
MSTRG.25471.1	MSTRG.25471	-1.04356534501427	1.36445871747948e-10	-	X	X	4.89088936262521	0.00105234550521294	novel
MSTRG.19668.1	MSTRG.19668	-4.89747648174103	5.39414174174862e-09	-	-	X	1.75559106031057	0.0654686467078379	novel
MSTRG.13475.1	MSTRG.13475	-3.17087541347472	4.78759881862955e-08	-	-	X	3.04126200169428	0.133402357252569	novel
MSTRG.19668.2	MSTRG.19668	-4.20121720336976	4.05424327208162e-06	-	-	X	1.78239939325603	0.00631103955157451	novel
MSTRG.5512.1	MSTRG.5512	-1.00144654337492	8.03181501948192e-06	-	X	X	4.26260456536574	0.0153429697647524	novel
MSTRG.5857.1	MSTRG.5857	-1.02996101861839	3.00938145463529e-05	-	-	X	4.09368374739383	0.0254512715660454	novel
MSTRG.18044.2	MSTRG.18044	2.31223961684305	0.000102915012531	X	-	X	4.62838887936788	0.00860072117298498	novel
MSTRG.18440.1	MSTRG.18440	-2.21869860354247	0.00125070400243448	X	-	X	3.43423926467599	0.061893312907804	novel
MSTRG.23684.1	MSTRG.23684	-2.98221200137243	0.00264123589402637	-	-	X	1.92067135817211	0.0263537107286379	novel
MSTRG.5017.1	MSTRG.5017	2.30944814243044	0.00484090099616942	X	-	X	2.47160491802237	0.016733899417075	novel
MSTRG.1579.1	MSTRG.1579	2.13768530478102	0.0475920424361241	X	X	X	2.05313375654685	0.0852664642469324	novel
